NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
AC-1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
AC-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
AC-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
AC-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-2.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
